iter	Passed	Remaining
0	0	498
1	0	406
2	1	360
3	1	335
4	1	316
5	1	306
6	2	298
7	2	294
8	2	292
9	2	289
10	3	285
11	3	283
12	3	280
13	3	277
14	4	275
15	4	272
16	4	271
17	4	272
18	5	272
19	5	270
20	5	269
21	6	268
22	6	268
23	6	267
24	6	266
25	7	265
26	7	264
27	7	264
28	7	263
29	8	263
30	8	261
31	8	260
32	8	260
33	9	259
34	9	258
35	9	258
36	9	258
37	10	258
38	10	261
39	10	262
40	11	261
41	11	260
42	11	259
43	12	265
44	12	264
45	12	264
46	13	264
47	13	263
48	13	263
49	13	263
50	14	262
51	14	262
52	14	262
53	14	261
54	15	261
55	15	260
56	15	259
57	15	258
58	16	258
59	16	257
60	16	257
61	16	256
62	17	260
63	17	261
64	18	261
65	18	260
66	18	260
67	18	259
68	19	259
69	19	258
70	19	257
71	19	257
72	20	256
73	20	256
74	20	255
75	21	255
76	21	254
77	21	254
78	21	253
79	22	253
80	22	252
81	22	251
82	22	249
83	22	248
84	23	248
85	23	248
86	23	247
87	23	246
88	24	246
89	24	246
90	24	246
91	24	245
92	25	245
93	25	245
94	25	244
95	25	244
96	26	243
97	26	243
98	26	243
99	27	243
100	27	242
101	27	242
102	27	242
103	28	241
104	28	241
105	28	240
106	28	240
107	29	239
108	29	239
109	29	239
110	29	238
111	30	238
112	30	237
113	30	237
114	30	236
115	31	236
116	31	235
117	31	235
118	31	234
119	31	234
120	32	234
121	32	233
122	32	232
123	32	232
124	33	232
125	33	232
126	33	230
127	33	230
128	34	230
129	34	230
130	34	229
131	34	229
132	35	229
133	35	228
134	35	228
135	35	228
136	36	227
137	36	227
138	36	226
139	36	226
140	37	226
141	37	224
142	37	224
143	37	224
144	37	224
145	38	223
146	38	223
147	38	223
148	39	222
149	39	222
150	39	222
151	39	222
152	40	221
153	40	221
154	40	221
155	40	220
156	41	220
157	41	220
158	41	219
159	42	222
160	42	221
161	42	220
162	43	221
163	43	221
164	43	221
165	43	221
166	44	220
167	44	220
168	44	220
169	45	219
170	45	219
171	45	219
172	45	219
173	46	219
174	46	218
175	46	218
176	46	218
177	47	218
178	47	218
179	47	217
180	48	217
181	48	217
182	48	216
183	48	216
184	49	216
185	49	215
186	49	215
187	49	215
188	50	215
189	50	214
190	50	214
191	50	214
192	51	213
193	51	213
194	51	213
195	51	212
196	52	212
197	52	212
198	52	211
199	52	211
200	53	211
201	53	210
202	53	210
203	53	210
204	54	209
205	54	209
206	54	209
207	54	209
208	55	208
209	55	208
210	55	208
211	55	207
212	56	207
213	56	207
214	56	206
215	56	206
